"","from","to"
"110","D Irwin","K Bock"
"111","P Johnson-Laird","Y Yang"
"112","M Colagrosso","M Mozer"
"113","D Huber","M Mozer"
"114","D Huber","M Colagrosso"
"115","M Schnadt","A Welham"
"116","A Wills","A Welham"
"117","A Wills","M Schnadt"
"118","L Boroditsky","W Phillips"
"119","W Kintsch","J Queseda"
"120","E Gomez","J Queseda"
"121","E Gomez","W Kintsch"
"122","C Andersen","C Andersen"
"123","J Oberlander","A Gill"
"124","K Eberhard","M Scheutz"
"125","K Targowski","M Scheutz"
"126","K Targowski","K Eberhard"
"127","O Wilhelm","K Oberauer"
"128","K Malone","K Malone"
"129","M Usher","E Davelaar"
"130","G Stevens","D Devnich"
"131","J Hummel","D Devnich"
"132","J Hummel","G Stevens"
"133","J Lindblom","T Susi"
"134","T Ziemke","T Susi"
"135","T Ziemke","J Lindblom"
"139","P Johnson-Laird","U Hasson"
"141","R Golden","C Jaynes"
"142","E Kurz-Milcke","N Nersessian"
"143","W Newstetter","N Nersessian"
"144","W Newstetter","E Kurz-Milcke"
"145","J Davies","N Nersessian"
"146","J Davies","E Kurz-Milcke"
"147","J Davies","W Newstetter"
"148","T Ormerod","C Bearman"
"149","L Ball","C Bearman"
"150","L Ball","T Ormerod"
"151","B Tversky","J Heiser"
"152","M Agrawala","J Heiser"
"153","M Agrawala","B Tversky"
"154","P Hanrahan","J Heiser"
"155","P Hanrahan","B Tversky"
"156","P Hanrahan","M Agrawala"
"157","M Byrne","M Byrne"
"158","L Ball","M Gale"
"159","M Pickering","S Haywood"
"160","H Branigan","S Haywood"
"161","H Branigan","M Pickering"
"162","G Logan","J Choplin"
"163","S Ploux","H Ji"
"164","G Knoblich","N Sebanz"
"165","W Prinz","N Sebanz"
"166","W Prinz","G Knoblich"
"167","P Tibbetts","P Tibbetts"
"168","M Delfos","T Bosse"
"169","C Jonker","T Bosse"
"170","C Jonker","M Delfos"
"171","J Treur","T Bosse"
"172","J Treur","M Delfos"
"173","J Treur","C Jonker"
"174","J Trafton","R Ratwani"
"175","D Boehm-Davis","R Ratwani"
"176","D Boehm-Davis","J Trafton"
"177","N Charter","P Monaghan"
"178","M Christiansen","P Monaghan"
"179","M Christiansen","N Charter"
"180","K Oberauer","A Weidenfeld"
"181","I Pearson","M Ramscar"
"182","S Ali","M Ramscar"
"183","S Ali","I Pearson"
"184","M Dowman","M Dowman"
"185","E Spelke","E Steingold"
"186","A Kittredge","E Steingold"
"187","A Kittredge","E Spelke"
"188","D Horn","Z Solan"
"189","E Ruppin","Z Solan"
"190","E Ruppin","D Horn"
"191","S Edelman","Z Solan"
"192","S Edelman","D Horn"
"193","S Edelman","E Ruppin"
"194","A Hoffman","B Rehder"
"195","B Love","Y Sakamoto"
"196","I Myung","D Navarro"
"197","M Pitt","D Navarro"
"198","M Pitt","I Myung"
"199","W Kim","D Navarro"
"200","W Kim","I Myung"
"201","W Kim","M Pitt"
"202","S Beller","S Beller"
"203","M Keane","L Connell"
"204","M Pomplun","S Inamdar"
"205","D Cousineau","D Huber"
"206","P Fitzpatrick","P Fitzpatrick"
"207","R Dale","E Balcetis"
"208","M rosby","R Vick"
"209","B Auernheimer","R Vick"
"210","B Auernheimer","M rosby"
"211","V Sloutsky","C Robinson"
"212","N Chater","I Vlaev"
"213","M Crocker","P Knoeferle"
"214","C Scheepers","P Knoeferle"
"215","C Scheepers","M Crocker"
"216","M Pickering","P Knoeferle"
"217","M Pickering","M Crocker"
"218","M Pickering","C Scheepers"
"219","P Gerjets","K Scheiter"
"220","S Maruno","E Tomida"
"221","M Ellefson","C Conway"
"222","M Christiansen","C Conway"
"223","M Christiansen","M Ellefson"
"224","P Dominey","P Dominey"
"225","D Gentner","J Jameson"
"226","A Markman","C Stilwell"
"227","F Giardini","C Castelfranchi"
"228","E Lorini","C Castelfranchi"
"229","E Lorini","F Giardini"
"230","L Tummolini","C Castelfranchi"
"231","L Tummolini","F Giardini"
"232","L Tummolini","E Lorini"
"233","A Nair","A Gordon"
"234","D Ballard","C Yu"
"235","R Aslin","C Yu"
"236","R Aslin","D Ballard"
"237","L Boroditsky","D Casasanto"
"238","R Dossena","L Magnani"
"239","S Beller","A Bender"
"240","M Wenger","P Maglio"
"241","A Copeland","P Maglio"
"242","A Copeland","M Wenger"
"243","B Tversky","M Suwa"
"244","A Shimojima","I Umata"
"245","Y Katagiri","I Umata"
